mtry,min_n,.metric,.estimator,mean,n,std_err,.config
5,40,roc_auc,binary,0.6972675308676921,5,8.319464564318194e-4,Preprocessor1_Model03
6,38,roc_auc,binary,0.6972413500218013,5,5.790995629863669e-4,Preprocessor1_Model20
6,35,roc_auc,binary,0.6969546068850335,5,6.679215619855455e-4,Preprocessor1_Model02
4,33,roc_auc,binary,0.6967136048465438,5,9.2816560655876e-4,Preprocessor1_Model01
3,23,roc_auc,binary,0.6955092337482208,5,0.0011131703267575133,Preprocessor1_Model11
3,32,roc_auc,binary,0.6952934223488879,5,0.0011043089266078638,Preprocessor1_Model05
3,17,roc_auc,binary,0.6950832377880353,5,9.83988917284566e-4,Preprocessor1_Model18
3,18,roc_auc,binary,0.6950131211659204,5,0.0010446118640101746,Preprocessor1_Model08
5,25,roc_auc,binary,0.6946369582315574,5,6.463902566383503e-4,Preprocessor1_Model07
7,23,roc_auc,binary,0.6939646666392614,5,5.356452513419239e-4,Preprocessor1_Model15
5,20,roc_auc,binary,0.6932112262097132,5,6.097748687343347e-4,Preprocessor1_Model06
4,9,roc_auc,binary,0.6905901893129937,5,6.789443719901827e-4,Preprocessor1_Model14
7,14,roc_auc,binary,0.6896597591872557,5,4.0657867620571593e-4,Preprocessor1_Model13
5,12,roc_auc,binary,0.6895394006079791,5,6.150755354767554e-4,Preprocessor1_Model12
4,7,roc_auc,binary,0.6894647002473172,5,7.005371161727824e-4,Preprocessor1_Model09
2,30,roc_auc,binary,0.6888289896122838,5,0.0013240054655826094,Preprocessor1_Model19
2,27,roc_auc,binary,0.6885415295778923,5,0.0013411402791022374,Preprocessor1_Model04
6,11,roc_auc,binary,0.6877796867068486,5,4.355655928202685e-4,Preprocessor1_Model10
4,4,roc_auc,binary,0.6873450533019352,5,7.382031810188193e-4,Preprocessor1_Model17
6,4,roc_auc,binary,0.6813009511494946,5,4.0973141400622496e-4,Preprocessor1_Model16
3,23,accuracy,binary,0.638965,5,0.0012480134214022023,Preprocessor1_Model11
4,33,accuracy,binary,0.63859,5,0.0012833208873855406,Preprocessor1_Model01
3,17,accuracy,binary,0.6385,5,9.938246827282879e-4,Preprocessor1_Model18
3,18,accuracy,binary,0.638265,5,0.0011207307883698077,Preprocessor1_Model08
6,38,accuracy,binary,0.638265,5,6.794575041899243e-4,Preprocessor1_Model20
3,32,accuracy,binary,0.638135,5,0.0011981913453201069,Preprocessor1_Model05
6,35,accuracy,binary,0.638015,5,8.390321805509106e-4,Preprocessor1_Model02
5,40,accuracy,binary,0.637945,5,9.092373177559375e-4,Preprocessor1_Model03
5,25,accuracy,binary,0.6365,5,7.150611861931902e-4,Preprocessor1_Model07
7,23,accuracy,binary,0.635555,5,7.542131661539757e-4,Preprocessor1_Model15
5,20,accuracy,binary,0.634935,5,7.076634086908807e-4,Preprocessor1_Model06
2,30,accuracy,binary,0.634875,5,0.001728095049469207,Preprocessor1_Model19
2,27,accuracy,binary,0.63415,5,0.0015090974123627538,Preprocessor1_Model04
4,9,accuracy,binary,0.63317,5,8.441489797423174e-4,Preprocessor1_Model14
4,7,accuracy,binary,0.63249,5,9.726445907935731e-4,Preprocessor1_Model09
7,14,accuracy,binary,0.6318750000000001,5,6.118108367788248e-4,Preprocessor1_Model13
5,12,accuracy,binary,0.63185,5,9.911798524990325e-4,Preprocessor1_Model12
4,4,accuracy,binary,0.630335,5,9.935919685665842e-4,Preprocessor1_Model17
6,11,accuracy,binary,0.63016,5,5.776352655439244e-4,Preprocessor1_Model10
6,4,accuracy,binary,0.62534,5,6.692626539707666e-4,Preprocessor1_Model16
